Index,File,Ext,Lines,Imports,Exports,FunctionSites,BrowserGlobalRefs,FindingCount,MaxScore,TopFinding,EvidenceLine,RequiredHardFix
376,scripts/check_repo.js,.js,18,0,0,0,0,0,0,none,,
377,scripts/check_repo_contracts.js,.js,1177,0,14,99,2,0,0,none,,
378,scripts/check_repo_structure.js,.js,2,0,0,0,0,0,0,none,,
379,scripts/check_viewer_runtime.js,.js,1193,0,0,119,0,0,0,none,,
380,scripts/contracts/model_authoring_contracts.js,.js,557,0,0,31,0,0,0,none,,
381,scripts/contracts/project_schema_contracts.js,.js,41,0,0,4,0,0,0,none,,
382,scripts/contracts/project_store_contracts.js,.js,85,0,0,7,0,0,0,none,,
383,scripts/contracts/smart_component_lifecycle_contracts.js,.js,523,0,0,53,3,0,0,none,,
384,scripts/contracts/smart_component_quick_property_contracts.js,.js,411,0,4,58,0,0,0,none,,
385,scripts/contracts/ui_contract_helpers.js,.js,118,0,0,7,0,0,0,none,,
386,scripts/contracts/ui_workspace_contracts.js,.js,839,0,3,37,0,0,0,none,,
387,scripts/contracts/ui_workspace_generated_panel_contracts.js,.js,867,0,23,79,1,0,0,none,,
388,scripts/contracts/ui_workspace_inspector_descriptor_contracts.js,.js,713,0,1,164,0,0,0,none,,
389,scripts/contracts/ui_workspace_inspector_object_contracts.js,.js,813,0,1,297,0,0,0,none,,
390,scripts/contracts/ui_workspace_left_dock_shell_contracts.js,.js,916,0,6,47,2,0,0,none,,
391,scripts/contracts/ui_workspace_snap_view_workspace_contracts.js,.js,1210,0,6,38,4,0,0,none,,
392,scripts/contracts/viewer_runtime_contract_helpers.js,.js,64,0,0,4,0,0,0,none,,
393,scripts/export_bobercad_ai_review.js,.js,232,0,0,18,0,0,0,none,,
394,scripts/generate_stair_samples.mjs,.mjs,376,5,0,16,3,0,0,none,,
395,scripts/generate_stair_tread_variants_sample.mjs,.mjs,205,4,0,13,3,0,0,none,,
396,scripts/generate_stair_treads_only_gallery.mjs,.mjs,319,4,0,15,3,0,0,none,,
397,scripts/validate_domain_model.js,.js,463,0,0,23,0,0,0,none,,
398,scripts/validate_json_schema.js,.js,226,0,0,24,0,0,0,none,,
399,tools/demo/generate_warehouse_hall_12x24.mjs,.mjs,365,5,0,14,0,0,0,none,,
400,tools/dev/no_cache_http_server.py,.py,194,0,0,2,0,0,0,none,,
401,tools/qa/capture_connection_views.mjs,.mjs,436,7,0,44,4,0,0,none,,
402,tools/qa/qa_stair_variants.mjs,.mjs,911,6,0,100,0,0,0,none,,
403,tools/stress/benchmark_member_move.mjs,.mjs,220,7,0,32,0,0,0,none,,
404,tools/stress/generate_eiffel_tower_stress.mjs,.mjs,754,5,0,47,0,0,0,none,,
405,tools/stress/generate_random_beam_stress_projects.mjs,.mjs,265,4,0,22,0,0,0,none,,
406,tools/stress/generate_warehouse_hall_stress.mjs,.mjs,372,5,0,31,0,0,0,none,,
407,tools/stress/interactive_member_drag.mjs,.mjs,169,4,0,26,16,0,0,none,,
